#: table_doi: 10.17182/hepdata.86210.v1/t6
#: name: Table 6
#: description: Additional systematic error for pp data: +3.0 pct -3.0 pct
Additional systematic error for PBPB 0-5 pct data: +0.08 pct -0.08 pct
Additional systematic error for PBPB 5-10 pct data: +0.24 pct -0.24 pct
Additional systematic error for PBPB 10-20 pct data: +0.46 pct -0.46 pct
Additional systematic error for PBPB 20-30 pct data: +0.81 pct -0.81 pct
Additional systematic error for PBPB 30-40 pct data: +1.26 pct -1.26 pct
Additional systematic error for PBPB 40-50 pct data: +1.86 pct -1.86 pct
Additional systematic error for PBPB 50-60 pct data: +2.64 pct -2.64 pct
Additional systematic error for PBPB 60-70 pct data: +3.67 pct -3.67 pct
Additional systematic error for PBPB 70-80 pct data: +5.01 pct -5.01 pct.

#: data_file: Fig5.yaml
#: keyword reactions: P P --> CHARGED X : PB PB --> CHARGED X
#: keyword observables: SPECTRA RATIOS
#: keyword cmenergies: 5020 and 2760
#: CENT,,,-
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,RATIO OF SPECTRA (5020 GEV / 2760 GEV),stat +,stat -,sys +,sys -
1.5,1.4,1.6,1.360906,0.00060928,-0.00060928,0.039465,-0.039465
1.7000000000000002,1.6,1.8,1.391961,0.0007361,-0.0007361,0.042596,-0.042596
1.9,1.8,2.0,1.423066,0.0008668,-0.0008668,0.04581,-0.04581
2.1,2.0,2.2,1.450791,0.0012712,-0.0012712,0.045983,-0.045983
2.3,2.2,2.4,1.479703,0.0015143,-0.0015143,0.048865,-0.048865
2.5,2.4,2.6,1.501085,0.0017685,-0.0017685,0.048164,-0.048164
2.7,2.6,2.8,1.530216,0.0020076,-0.0020076,0.049312,-0.049312
2.9,2.8,3.0,1.563155,0.0023772,-0.0023772,0.051746,-0.051746
3.1,3.0,3.2,1.577036,0.0027694,-0.0027694,0.052072,-0.052072
3.4000000000000004,3.2,3.6,1.609059,0.0021894,-0.0021894,0.053611,-0.053611
3.8,3.6,4.0,1.647804,0.0029444,-0.0029444,0.055173,-0.055173
4.5,4.0,5.0,1.693837,0.0029469,-0.0029469,0.057941,-0.057941
5.5,5.0,6.0,1.739942,0.0052762,-0.0052762,0.053032,-0.053032
7.0,6.0,8.0,1.807417,0.0070235,-0.0070235,0.051634,-0.051634
9.0,8.0,10.0,1.912733,0.014271,-0.014271,0.052902,-0.052902
11.5,10.0,13.0,2.025024,0.021899,-0.021899,0.063169,-0.063169
16.5,13.0,20.0,2.249223,0.035966,-0.035966,0.087181,-0.087181
25.0,20.0,30.0,2.566331,0.097327,-0.097327,0.13453,-0.13453
40.0,30.0,50.0,2.717566,0.22518,-0.22518,0.2138,-0.2138

#: CENT,,,40-50 pct
#: ETARAP,,,-0.8 - 0.8
#: RE,,,
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,RATIO OF SPECTRA (5020 GEV / 2760 GEV),stat +,stat -,sys +,sys -
0.175,0.15,0.2,1.183185,0.00062994,-0.00062994,0.065297,-0.065297
0.225,0.2,0.25,1.192414,0.00039812,-0.00039812,0.040797,-0.040797
0.275,0.25,0.3,1.185091,0.00036034,-0.00036034,0.037295,-0.037295
0.32499999999999996,0.3,0.35,1.193342,0.00035263,-0.00035263,0.034809,-0.034809
0.375,0.35,0.4,1.202259,0.00035737,-0.00035737,0.039588,-0.039588
0.42500000000000004,0.4,0.45,1.209734,0.00036744,-0.00036744,0.041939,-0.041939
0.475,0.45,0.5,1.218617,0.00039058,-0.00039058,0.042566,-0.042566
0.525,0.5,0.55,1.225605,0.00042223,-0.00042223,0.041067,-0.041067
0.575,0.55,0.6,1.235861,0.00045527,-0.00045527,0.039272,-0.039272
0.625,0.6,0.65,1.24233,0.00049263,-0.00049263,0.037911,-0.037911
0.675,0.65,0.7,1.244731,0.00053202,-0.00053202,0.036799,-0.036799
0.725,0.7,0.75,1.252022,0.00057526,-0.00057526,0.035286,-0.035286
0.775,0.75,0.8,1.255973,0.0006171,-0.0006171,0.034151,-0.034151
0.825,0.8,0.85,1.264923,0.00066634,-0.00066634,0.033845,-0.033845
0.875,0.85,0.9,1.273521,0.00072035,-0.00072035,0.032371,-0.032371
0.925,0.9,0.95,1.285058,0.00077934,-0.00077934,0.029987,-0.029987
0.975,0.95,1.0,1.289681,0.00082802,-0.00082802,0.03216,-0.03216
1.05,1.0,1.1,1.305514,0.0006379,-0.0006379,0.033583,-0.033583
1.15,1.1,1.2,1.323105,0.00071542,-0.00071542,0.034528,-0.034528
1.2999999999999998,1.2,1.4,1.342298,0.00052454,-0.00052454,0.036984,-0.036984
1.5,1.4,1.6,1.374435,0.00064235,-0.00064235,0.04059,-0.04059
1.7000000000000002,1.6,1.8,1.409689,0.00078316,-0.00078316,0.044889,-0.044889
1.9,1.8,2.0,1.439246,0.00095335,-0.00095335,0.046196,-0.046196
2.1,2.0,2.2,1.466729,0.0012566,-0.0012566,0.04891,-0.04891
2.3,2.2,2.4,1.500096,0.0015195,-0.0015195,0.049607,-0.049607
2.5,2.4,2.6,1.520954,0.0017902,-0.0017902,0.050718,-0.050718
2.7,2.6,2.8,1.548003,0.0021511,-0.0021511,0.052674,-0.052674
2.9,2.8,3.0,1.570911,0.0025541,-0.0025541,0.055865,-0.055865
3.1,3.0,3.2,1.589216,0.0029921,-0.0029921,0.053897,-0.053897
3.4000000000000004,3.2,3.6,1.616167,0.0025707,-0.0025707,0.055195,-0.055195
3.8,3.6,4.0,1.653688,0.0035206,-0.0035206,0.055062,-0.055062
4.5,4.0,5.0,1.698725,0.0035217,-0.0035217,0.05773,-0.05773
5.5,5.0,6.0,1.752571,0.0063308,-0.0063308,0.05449,-0.05449
7.0,6.0,8.0,1.819723,0.008431,-0.008431,0.056454,-0.056454
9.0,8.0,10.0,1.936624,0.017413,-0.017413,0.057619,-0.057619
11.5,10.0,13.0,2.104522,0.028006,-0.028006,0.06611,-0.06611
16.5,13.0,20.0,2.232,0.043726,-0.043726,0.076387,-0.076387
25.0,20.0,30.0,2.539754,0.11996,-0.11996,0.10214,-0.10214
40.0,30.0,50.0,3.181541,0.34304,-0.34304,0.15789,-0.15789

#: CENT,,,50-60 pct
#: ETARAP,,,-0.8 - 0.8
#: RE,,,
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,RATIO OF SPECTRA (5020 GEV / 2760 GEV),stat +,stat -,sys +,sys -
0.175,0.15,0.2,1.194094,0.00072422,-0.00072422,0.06359,-0.06359
0.225,0.2,0.25,1.203991,0.00047213,-0.00047213,0.039191,-0.039191
0.275,0.25,0.3,1.19895,0.00043745,-0.00043745,0.036604,-0.036604
0.32499999999999996,0.3,0.35,1.206187,0.00043442,-0.00043442,0.035218,-0.035218
0.375,0.35,0.4,1.215927,0.00044395,-0.00044395,0.040187,-0.040187
0.42500000000000004,0.4,0.45,1.223999,0.00045977,-0.00045977,0.04237,-0.04237
0.475,0.45,0.5,1.233913,0.00049201,-0.00049201,0.042751,-0.042751
0.525,0.5,0.55,1.241893,0.00053423,-0.00053423,0.04139,-0.04139
0.575,0.55,0.6,1.250251,0.00057721,-0.00057721,0.039928,-0.039928
0.625,0.6,0.65,1.257319,0.00062525,-0.00062525,0.039116,-0.039116
0.675,0.65,0.7,1.261042,0.00067998,-0.00067998,0.036999,-0.036999
0.725,0.7,0.75,1.266945,0.00073111,-0.00073111,0.03524,-0.03524
0.775,0.75,0.8,1.271087,0.00078824,-0.00078824,0.034534,-0.034534
0.825,0.8,0.85,1.282016,0.00085206,-0.00085206,0.034046,-0.034046
0.875,0.85,0.9,1.292575,0.00092281,-0.00092281,0.033082,-0.033082
0.925,0.9,0.95,1.302992,0.00099671,-0.00099671,0.032131,-0.032131
0.975,0.95,1.0,1.309865,0.0010614,-0.0010614,0.033916,-0.033916
1.05,1.0,1.1,1.325406,0.00082051,-0.00082051,0.035017,-0.035017
1.15,1.1,1.2,1.341459,0.00091893,-0.00091893,0.034462,-0.034462
1.2999999999999998,1.2,1.4,1.36203,0.00069426,-0.00069426,0.037725,-0.037725
1.5,1.4,1.6,1.39787,0.0008599,-0.0008599,0.039917,-0.039917
1.7000000000000002,1.6,1.8,1.431965,0.0010556,-0.0010556,0.042139,-0.042139
1.9,1.8,2.0,1.459062,0.0012818,-0.0012818,0.0448,-0.0448
2.1,2.0,2.2,1.488886,0.0016667,-0.0016667,0.046349,-0.046349
2.3,2.2,2.4,1.518176,0.002012,-0.002012,0.046856,-0.046856
2.5,2.4,2.6,1.536917,0.0023944,-0.0023944,0.047086,-0.047086
2.7,2.6,2.8,1.558724,0.0028379,-0.0028379,0.047673,-0.047673
2.9,2.8,3.0,1.587023,0.0034238,-0.0034238,0.048892,-0.048892
3.1,3.0,3.2,1.608136,0.0040436,-0.0040436,0.05167,-0.05167
3.4000000000000004,3.2,3.6,1.627065,0.0034379,-0.0034379,0.05248,-0.05248
3.8,3.6,4.0,1.666414,0.0046829,-0.0046829,0.052105,-0.052105
4.5,4.0,5.0,1.720945,0.0046547,-0.0046547,0.055084,-0.055084
5.5,5.0,6.0,1.793816,0.0083174,-0.0083174,0.050987,-0.050987
7.0,6.0,8.0,1.862905,0.011109,-0.011109,0.051599,-0.051599
9.0,8.0,10.0,2.019833,0.023372,-0.023372,0.052423,-0.052423
11.5,10.0,13.0,2.129184,0.036569,-0.036569,0.0584,-0.0584
16.5,13.0,20.0,2.279314,0.05901,-0.05901,0.070294,-0.070294
25.0,20.0,30.0,2.440824,0.15776,-0.15776,0.093744,-0.093744
40.0,30.0,50.0,2.974287,0.44168,-0.44168,0.15362,-0.15362

#: CENT,,,60-70 pct
#: ETARAP,,,-0.8 - 0.8
#: RE,,,
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,RATIO OF SPECTRA (5020 GEV / 2760 GEV),stat +,stat -,sys +,sys -
0.175,0.15,0.2,1.212126,0.00095026,-0.00095026,0.063664,-0.063664
0.225,0.2,0.25,1.223427,0.00063017,-0.00063017,0.039549,-0.039549
0.275,0.25,0.3,1.216592,0.00059024,-0.00059024,0.037236,-0.037236
0.32499999999999996,0.3,0.35,1.225179,0.00059073,-0.00059073,0.034228,-0.034228
0.375,0.35,0.4,1.234376,0.00060641,-0.00060641,0.038209,-0.038209
0.42500000000000004,0.4,0.45,1.242274,0.00063181,-0.00063181,0.040303,-0.040303
0.475,0.45,0.5,1.252548,0.00067941,-0.00067941,0.041008,-0.041008
0.525,0.5,0.55,1.259853,0.00074034,-0.00074034,0.039881,-0.039881
0.575,0.55,0.6,1.271441,0.00080303,-0.00080303,0.038783,-0.038783
0.625,0.6,0.65,1.277397,0.00087417,-0.00087417,0.037835,-0.037835
0.675,0.65,0.7,1.280804,0.00095277,-0.00095277,0.03606,-0.03606
0.725,0.7,0.75,1.287374,0.0010281,-0.0010281,0.034453,-0.034453
0.775,0.75,0.8,1.289321,0.0011079,-0.0011079,0.033382,-0.033382
0.825,0.8,0.85,1.302862,0.0012044,-0.0012044,0.033377,-0.033377
0.875,0.85,0.9,1.313012,0.001299,-0.001299,0.031334,-0.031334
0.925,0.9,0.95,1.323078,0.0014077,-0.0014077,0.029598,-0.029598
0.975,0.95,1.0,1.329533,0.001495,-0.001495,0.031698,-0.031698
1.05,1.0,1.1,1.344772,0.00116,-0.00116,0.03331,-0.03331
1.15,1.1,1.2,1.364765,0.0013139,-0.0013139,0.034173,-0.034173
1.2999999999999998,1.2,1.4,1.384635,0.0010017,-0.0010017,0.037553,-0.037553
1.5,1.4,1.6,1.421135,0.0012456,-0.0012456,0.040391,-0.040391
1.7000000000000002,1.6,1.8,1.454644,0.0015339,-0.0015339,0.043515,-0.043515
1.9,1.8,2.0,1.483483,0.0018786,-0.0018786,0.047211,-0.047211
2.1,2.0,2.2,1.513003,0.0024286,-0.0024286,0.048133,-0.048133
2.3,2.2,2.4,1.539621,0.0029013,-0.0029013,0.048081,-0.048081
2.5,2.4,2.6,1.556175,0.0034605,-0.0034605,0.046818,-0.046818
2.7,2.6,2.8,1.572963,0.0040895,-0.0040895,0.048584,-0.048584
2.9,2.8,3.0,1.604057,0.0048887,-0.0048887,0.0489,-0.0489
3.1,3.0,3.2,1.619183,0.0057137,-0.0057137,0.047614,-0.047614
3.4000000000000004,3.2,3.6,1.649339,0.0049117,-0.0049117,0.049139,-0.049139
3.8,3.6,4.0,1.681918,0.0065947,-0.0065947,0.049141,-0.049141
4.5,4.0,5.0,1.733964,0.006461,-0.006461,0.049196,-0.049196
5.5,5.0,6.0,1.816713,0.011521,-0.011521,0.049295,-0.049295
7.0,6.0,8.0,1.890347,0.015326,-0.015326,0.051775,-0.051775
9.0,8.0,10.0,2.056911,0.032777,-0.032777,0.059029,-0.059029
11.5,10.0,13.0,2.215664,0.052738,-0.052738,0.069023,-0.069023
16.5,13.0,20.0,2.333995,0.086027,-0.086027,0.084525,-0.084525
25.0,20.0,30.0,2.596065,0.23442,-0.23442,0.121,-0.121
40.0,30.0,50.0,2.783125,0.5828,-0.5828,0.1861,-0.1861

#: CENT,,,70-80 pct
#: ETARAP,,,-0.8 - 0.8
#: RE,,,
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,RATIO OF SPECTRA (5020 GEV / 2760 GEV),stat +,stat -,sys +,sys -
0.175,0.15,0.2,1.235657,0.0013856,-0.0013856,0.063798,-0.063798
0.225,0.2,0.25,1.248624,0.00092638,-0.00092638,0.039401,-0.039401
0.275,0.25,0.3,1.238925,0.00087017,-0.00087017,0.037468,-0.037468
0.32499999999999996,0.3,0.35,1.246372,0.00087405,-0.00087405,0.034663,-0.034663
0.375,0.35,0.4,1.256388,0.00089991,-0.00089991,0.038433,-0.038433
0.42500000000000004,0.4,0.45,1.264417,0.00094104,-0.00094104,0.040767,-0.040767
0.475,0.45,0.5,1.274098,0.0010148,-0.0010148,0.041516,-0.041516
0.525,0.5,0.55,1.281357,0.0011102,-0.0011102,0.039951,-0.039951
0.575,0.55,0.6,1.295323,0.0012139,-0.0012139,0.039298,-0.039298
0.625,0.6,0.65,1.296294,0.0013119,-0.0013119,0.037876,-0.037876
0.675,0.65,0.7,1.304284,0.0014395,-0.0014395,0.036072,-0.036072
0.725,0.7,0.75,1.31255,0.001563,-0.001563,0.034945,-0.034945
0.775,0.75,0.8,1.316427,0.0016836,-0.0016836,0.033904,-0.033904
0.825,0.8,0.85,1.327633,0.0018311,-0.0018311,0.0332,-0.0332
0.875,0.85,0.9,1.337885,0.001985,-0.001985,0.031753,-0.031753
0.925,0.9,0.95,1.350419,0.0021607,-0.0021607,0.029905,-0.029905
0.975,0.95,1.0,1.355617,0.0023098,-0.0023098,0.031839,-0.031839
1.05,1.0,1.1,1.371392,0.001784,-0.001784,0.033776,-0.033776
1.15,1.1,1.2,1.39491,0.0020221,-0.0020221,0.034614,-0.034614
1.2999999999999998,1.2,1.4,1.414365,0.0015651,-0.0015651,0.038092,-0.038092
1.5,1.4,1.6,1.447908,0.0019378,-0.0019378,0.04094,-0.04094
1.7000000000000002,1.6,1.8,1.48055,0.0023884,-0.0023884,0.043792,-0.043792
1.9,1.8,2.0,1.521928,0.002958,-0.002958,0.047869,-0.047869
2.1,2.0,2.2,1.544174,0.0037591,-0.0037591,0.048902,-0.048902
2.3,2.2,2.4,1.574332,0.0045666,-0.0045666,0.049249,-0.049249
2.5,2.4,2.6,1.591475,0.0054552,-0.0054552,0.047304,-0.047304
2.7,2.6,2.8,1.600463,0.0063409,-0.0063409,0.049083,-0.049083
2.9,2.8,3.0,1.614747,0.0075094,-0.0075094,0.05004,-0.05004
3.1,3.0,3.2,1.656269,0.0088475,-0.0088475,0.047778,-0.047778
3.4000000000000004,3.2,3.6,1.69009,0.0075717,-0.0075717,0.049831,-0.049831
3.8,3.6,4.0,1.726913,0.010189,-0.010189,0.050048,-0.050048
4.5,4.0,5.0,1.796837,0.0099803,-0.0099803,0.052059,-0.052059
5.5,5.0,6.0,1.88193,0.01769,-0.01769,0.053304,-0.053304
7.0,6.0,8.0,1.991249,0.024038,-0.024038,0.05636,-0.05636
9.0,8.0,10.0,2.140594,0.05071,-0.05071,0.062443,-0.062443
11.5,10.0,13.0,2.253276,0.081638,-0.081638,0.068451,-0.068451
16.5,13.0,20.0,2.587833,0.14983,-0.14983,0.08419,-0.08419
25.0,20.0,30.0,2.839033,0.4048,-0.4048,0.10761,-0.10761
40.0,30.0,50.0,3.138632,0.994,-0.994,0.15344,-0.15344

