#: table_doi: 10.17182/hepdata.86210.v1/t2
#: name: Table 2
#: description: Transverse momentum spectra of charged particles in PbPb collisions in nine centrality classes.
#: data_file: Fig3_PbPb_5020GeV.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: D2N/DETARAP/DPT
#: keyword cmenergies: 5020
#: CENT,,,0-5 pct
#: ETARAP,,,-0.8 - 0.8
#: RE,,,PB PB --> CHARGED X
#: SQRT(S)/NUCLEON,,,5020.0 GeV
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,(1/(Nevt))*D2(N)/DETARAP/DPT [C/GEV],stat +,stat -,sys +,sys -
0.375,0.35,0.4,1767.333,0.41474,-0.41474,39.612,-39.612
0.42500000000000004,0.4,0.45,1648.528,0.37817,-0.37817,36.135,-36.135
0.475,0.45,0.5,1520.064,0.35501,-0.35501,32.716,-32.716
0.525,0.5,0.55,1396.642,0.34001,-0.34001,27.943,-27.943
0.575,0.55,0.6,1281.96,0.32715,-0.32715,25.092,-25.092
0.625,0.6,0.65,1171.065,0.3174,-0.3174,22.154,-22.154
0.675,0.65,0.7,1069.754,0.30873,-0.30873,19.322,-19.322
0.725,0.7,0.75,976.953,0.29815,-0.29815,16.916,-16.916
0.775,0.75,0.8,890.503,0.29071,-0.29071,14.384,-14.384
0.825,0.8,0.85,813.319,0.2833,-0.2833,12.441,-12.441
0.875,0.85,0.9,741.212,0.27801,-0.27801,10.024,-10.024
0.925,0.9,0.95,675.76,0.27525,-0.27525,7.0777,-7.0777
0.975,0.95,1.0,616.075,0.26372,-0.26372,7.6287,-7.6287
1.05,1.0,1.1,536.122,0.17652,-0.17652,7.2361,-7.2361
1.15,1.1,1.2,445.792,0.16019,-0.16019,6.0354,-6.0354
1.25,1.2,1.3,367.356,0.1125,-0.1125,5.4839,-5.4839
1.35,1.3,1.4,309.859,0.097068,-0.097068,4.6003,-4.6003
1.45,1.4,1.5,255.253,0.091532,-0.091532,3.6694,-3.6694
1.55,1.5,1.6,214.073,0.078658,-0.078658,3.2871,-3.2871
1.65,1.6,1.7,177.494,0.074184,-0.074184,2.7636,-2.7636
1.75,1.7,1.8,148.711,0.063767,-0.063767,2.2486,-2.2486
1.85,1.8,1.9,123.633,0.058805,-0.058805,2.0011,-2.0011
1.95,1.9,2.0,103.402,0.0506,-0.0506,1.6469,-1.6469
2.1,2.0,2.2,79.19585,0.039767,-0.039767,1.4058,-1.4058
2.3,2.2,2.4,55.08058,0.030844,-0.030844,0.99655,-0.99655
2.5,2.4,2.6,38.11178,0.024176,-0.024176,0.66437,-0.66437
2.7,2.6,2.8,26.60646,0.019257,-0.019257,0.53589,-0.53589
