#: table_doi: 10.17182/hepdata.86210.v1/t5
#: name: Table 5
#: description: Ratio Data/MC
#: data_file: Fig4.yaml
#: keyword reactions: P P --> CHARGED X
#: keyword observables: DATA/MC
#: keyword cmenergies: 5020 and 2760
#: ETARAP,,,-0.8 - 0.8
#: RATIO,,,DATA/EPOS
#: RE,,,P P --> CHARGED X
#: SQRT(S),,,5020.0 GeV
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,DATA / MC,stat +,stat -,sys +,sys -
3.1,3.0,3.2,1.026188,0.0011914,-0.0011914,0.022611,-0.022611
3.4000000000000004,3.2,3.6,1.025444,0.0010216,-0.0010216,0.022374,-0.022374
3.8,3.6,4.0,1.032703,0.0013218,-0.0013218,0.021685,-0.021685
4.5,4.0,5.0,1.035515,0.001228,-0.001228,0.021438,-0.021438
5.5,5.0,6.0,1.019177,0.0020404,-0.0020404,0.018695,-0.018695
7.0,6.0,8.0,0.996699,0.0025757,-0.0025757,0.017029,-0.017029
9.0,8.0,10.0,0.961768,0.0050246,-0.0050246,0.018456,-0.018456
11.5,10.0,13.0,0.949314,0.007609,-0.007609,0.021852,-0.021852
16.5,13.0,20.0,0.957131,0.01161,-0.01161,0.033557,-0.033557
25.0,20.0,30.0,0.935345,0.029491,-0.029491,0.0394,-0.0394
40.0,30.0,50.0,0.870151,0.068064,-0.068064,0.03882,-0.03882

#: ETARAP,,,-0.8 - 0.8
#: RATIO,,,DATA/EPOS
#: RE,,,P P --> CHARGED X
#: SQRT(S),,,2760.0 GeV
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,DATA / MC,stat +,stat -,sys +,sys -
0.175,0.15,0.2,0.909408,0.00040569,-0.00040569,0.061361,-0.061361
0.225,0.2,0.25,0.881226,0.00027315,-0.00027315,0.053058,-0.053058
0.275,0.25,0.3,0.864119,0.00026117,-0.00026117,0.044423,-0.044423
0.32499999999999996,0.3,0.35,0.856769,0.00026226,-0.00026226,0.041352,-0.041352
0.375,0.35,0.4,0.855068,0.00027031,-0.00027031,0.039418,-0.039418
0.42500000000000004,0.4,0.45,0.862855,0.00028305,-0.00028305,0.037349,-0.037349
0.475,0.45,0.5,0.869367,0.00030513,-0.00030513,0.036756,-0.036756
0.525,0.5,0.55,0.87837,0.00033395,-0.00033395,0.035318,-0.035318
0.575,0.55,0.6,0.889147,0.00036355,-0.00036355,0.035617,-0.035617
0.625,0.6,0.65,0.899746,0.000397,-0.000397,0.034346,-0.034346
0.675,0.65,0.7,0.914572,0.00043468,-0.00043468,0.034124,-0.034124
0.725,0.7,0.75,0.928291,0.00047161,-0.00047161,0.036097,-0.036097
0.775,0.75,0.8,0.94351,0.00051094,-0.00051094,0.036571,-0.036571
0.825,0.8,0.85,0.956509,0.00055291,-0.00055291,0.037284,-0.037284
0.875,0.85,0.9,0.968456,0.00059718,-0.00059718,0.040167,-0.040167
0.925,0.9,0.95,0.980142,0.00064398,-0.00064398,0.043887,-0.043887
0.975,0.95,1.0,0.990876,0.00068564,-0.00068564,0.040686,-0.040686
1.05,1.0,1.1,1.001887,0.00052893,-0.00052893,0.041707,-0.041707
1.15,1.1,1.2,1.022846,0.00059018,-0.00059018,0.04294,-0.04294
1.2999999999999998,1.2,1.4,1.050927,0.00047524,-0.00047524,0.046304,-0.046304
1.5,1.4,1.6,1.088016,0.00058599,-0.00058599,0.04767,-0.04767
1.7000000000000002,1.6,1.8,1.126922,0.00071549,-0.00071549,0.048695,-0.048695
1.9,1.8,2.0,1.14982,0.00086875,-0.00086875,0.049484,-0.049484
2.1,2.0,2.2,1.160758,0.0010687,-0.0010687,0.0515,-0.0515
2.3,2.2,2.4,1.164494,0.0012767,-0.0012767,0.049239,-0.049239
2.5,2.4,2.6,1.160901,0.0015132,-0.0015132,0.045476,-0.045476
2.7,2.6,2.8,1.146855,0.0017848,-0.0017848,0.043233,-0.043233
2.9,2.8,3.0,1.137745,0.002084,-0.002084,0.043073,-0.043073
3.1,3.0,3.2,1.125027,0.0024369,-0.0024369,0.045733,-0.045733
3.4000000000000004,3.2,3.6,1.107161,0.0020769,-0.0020769,0.042708,-0.042708
3.8,3.6,4.0,1.08039,0.0027203,-0.0027203,0.045365,-0.045365
4.5,4.0,5.0,1.043074,0.0025739,-0.0025739,0.041272,-0.041272
5.5,5.0,6.0,0.975131,0.004391,-0.004391,0.035946,-0.035946
7.0,6.0,8.0,0.926446,0.0056231,-0.0056231,0.035436,-0.035436
9.0,8.0,10.0,0.848909,0.011308,-0.011308,0.030864,-0.030864
11.5,10.0,13.0,0.831632,0.017419,-0.017419,0.029762,-0.029762
16.5,13.0,20.0,0.780731,0.027971,-0.027971,0.032566,-0.032566
25.0,20.0,30.0,0.894412,0.072021,-0.072021,0.035601,-0.035601
40.0,30.0,50.0,0.990968,0.18961,-0.18961,0.050539,-0.050539

#: ETARAP,,,-0.8 - 0.8
#: RATIO,,,DATA/PYTHIA
#: RE,,,P P --> CHARGED X
#: SQRT(S),,,2760.0 GeV
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,DATA / MC,stat +,stat -,sys +,sys -
0.175,0.15,0.2,1.060857,0.0004076,-0.0004076,0.07158,-0.07158
0.225,0.2,0.25,0.987027,0.00027532,-0.00027532,0.059428,-0.059428
0.275,0.25,0.3,0.928031,0.00026301,-0.00026301,0.047709,-0.047709
0.32499999999999996,0.3,0.35,0.883292,0.00026376,-0.00026376,0.042632,-0.042632
0.375,0.35,0.4,0.848069,0.00027148,-0.00027148,0.039096,-0.039096
0.42500000000000004,0.4,0.45,0.825423,0.00028386,-0.00028386,0.035728,-0.035728
0.475,0.45,0.5,0.809903,0.00030566,-0.00030566,0.034242,-0.034242
0.525,0.5,0.55,0.802236,0.00033424,-0.00033424,0.032256,-0.032256
0.575,0.55,0.6,0.802067,0.00036368,-0.00036368,0.032129,-0.032129
0.625,0.6,0.65,0.807737,0.00039707,-0.00039707,0.030834,-0.030834
0.675,0.65,0.7,0.823451,0.0004348,-0.0004348,0.030724,-0.030724
0.725,0.7,0.75,0.84253,0.00047187,-0.00047187,0.032763,-0.032763
0.775,0.75,0.8,0.866535,0.00051145,-0.00051145,0.033588,-0.033588
0.825,0.8,0.85,0.891126,0.00055373,-0.00055373,0.034736,-0.034736
0.875,0.85,0.9,0.915526,0.00059837,-0.00059837,0.037972,-0.037972
0.925,0.9,0.95,0.940107,0.00064559,-0.00064559,0.042094,-0.042094
0.975,0.95,1.0,0.962566,0.00068769,-0.00068769,0.039523,-0.039523
1.05,1.0,1.1,0.987356,0.00053084,-0.00053084,0.041102,-0.041102
1.15,1.1,1.2,1.019805,0.00059267,-0.00059267,0.042813,-0.042813
1.2999999999999998,1.2,1.4,1.048207,0.00047748,-0.00047748,0.046184,-0.046184
1.5,1.4,1.6,1.069978,0.0005885,-0.0005885,0.04688,-0.04688
1.7000000000000002,1.6,1.8,1.08314,0.00071792,-0.00071792,0.046803,-0.046803
1.9,1.8,2.0,1.089021,0.00087117,-0.00087117,0.046867,-0.046867
2.1,2.0,2.2,1.095935,0.0010715,-0.0010715,0.048624,-0.048624
2.3,2.2,2.4,1.104062,0.0012803,-0.0012803,0.046684,-0.046684
