#: table_doi: 10.17182/hepdata.86210.v1/t1
#: name: Table 1
#: description: Transverse momentum spectra of charged particles in PbPb collisions in nine centrality classes.
#: data_file: Fig3_PbPb_2760GeV.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: D2N/DETARAP/DPT
#: keyword cmenergies: 2760
#: CENT,,,0-5 pct
#: ETARAP,,,-0.8 - 0.8
#: RE,,,PB PB --> CHARGED X
#: SQRT(S)/NUCLEON,,,2760.0 GeV
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,(1/(Nevt))*D2(N)/DETARAP/DPT [C/GEV],stat +,stat -,sys +,sys -
0.175,0.15,0.2,1900.9,0.54481,-0.54481,97.977,-97.977
0.225,0.2,0.25,2081.83,0.36504,-0.36504,73.157,-73.157
0.275,0.25,0.3,2089.521,0.32388,-0.32388,66.684,-66.684
0.32499999999999996,0.3,0.35,2001.694,0.29795,-0.29795,54.466,-54.466
0.375,0.35,0.4,1875.999,0.27967,-0.27967,47.835,-47.835
0.42500000000000004,0.4,0.45,1738.595,0.26247,-0.26247,41.275,-41.275
0.475,0.45,0.5,1595.057,0.25106,-0.25106,36.263,-36.263
0.525,0.5,0.55,1454.62,0.24376,-0.24376,34.077,-34.077
0.575,0.55,0.6,1323.343,0.23537,-0.23537,30.346,-30.346
0.625,0.6,0.65,1203.148,0.22847,-0.22847,26.652,-26.652
0.675,0.65,0.7,1094.434,0.22284,-0.22284,23.286,-23.286
0.725,0.7,0.75,995.618,0.21609,-0.21609,20.719,-20.719
0.775,0.75,0.8,904.533,0.20996,-0.20996,18.457,-18.457
0.825,0.8,0.85,819.934,0.20337,-0.20337,16.399,-16.399
0.875,0.85,0.9,742.907,0.19753,-0.19753,14.589,-14.589
0.925,0.9,0.95,673.253,0.19173,-0.19173,13.208,-13.208
0.975,0.95,1.0,609.749,0.18389,-0.18389,11.881,-11.881
1.05,1.0,1.1,524.273,0.12097,-0.12097,10.258,-10.258
1.15,1.1,1.2,430.063,0.10981,-0.10981,8.7364,-8.7364
1.25,1.2,1.3,351.045,0.08733,-0.08733,7.8423,-7.8423
1.35,1.3,1.4,292.274,0.077482,-0.077482,6.3648,-6.3648
1.45,1.4,1.5,237.697,0.07033,-0.07033,5.7918,-5.7918
1.55,1.5,1.6,197.63,0.062448,-0.062448,4.8922,-4.8922
1.65,1.6,1.7,161.777,0.056782,-0.056782,4.2402,-4.2402
1.75,1.7,1.8,133.973,0.050387,-0.050387,3.3956,-3.3956
1.85,1.8,1.9,109.936,0.045653,-0.045653,3.0806,-3.0806
1.95,1.9,2.0,90.861,0.040575,-0.040575,2.5112,-2.5112
2.1,2.0,2.2,68.23807,0.027009,-0.027009,2.0082,-2.0082
