#: table_doi: 10.17182/hepdata.86210.v1/t1
#: name: Table 1
#: description: Transverse momentum spectra of charged particles in PbPb collisions in nine centrality classes.
#: data_file: Fig3_PbPb_2760GeV.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: D2N/DETARAP/DPT
#: keyword cmenergies: 2760
#: CENT,,,0-5 pct
#: ETARAP,,,-0.8 - 0.8
#: RE,,,PB PB --> CHARGED X
#: SQRT(S)/NUCLEON,,,2760.0 GeV
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,(1/(Nevt))*D2(N)/DETARAP/DPT [C/GEV],stat +,stat -,sys +,sys -
2.3,2.2,2.4,46.35203,0.021687,-0.021687,1.405,-1.405
2.5,2.4,2.6,31.36032,0.017411,-0.017411,0.96697,-0.96697
2.7,2.6,2.8,21.22846,0.013974,-0.013974,0.6799,-0.6799
2.9,2.8,3.0,14.32658,0.01112,-0.01112,0.43128,-0.43128
3.1,3.0,3.2,9.821356,0.0091173,-0.0091173,0.308,-0.308
3.3,3.2,3.4,6.70412,0.0071658,-0.0071658,0.21605,-0.21605
3.5,3.4,3.6,4.648514,0.0058887,-0.0058887,0.14591,-0.14591
3.7,3.6,3.8,3.200068,0.0048444,-0.0048444,0.1016,-0.1016
3.9,3.8,4.0,2.259614,0.0040359,-0.0040359,0.069306,-0.069306
4.25,4.0,4.5,1.282867,0.0019067,-0.0019067,0.04061,-0.04061
4.75,4.5,5.0,0.6097952,0.0013005,-0.0013005,0.018243,-0.018243
5.25,5.0,5.5,0.3028185,0.00089543,-0.00089543,0.0083122,-0.0083122
5.75,5.5,6.0,0.173344,0.00067445,-0.00067445,0.0046751,-0.0046751
6.25,6.0,6.5,0.103802,0.00051227,-0.00051227,0.0027473,-0.0027473
6.75,6.5,7.0,0.06759131,0.00041257,-0.00041257,0.0017304,-0.0017304
7.5,7.0,8.0,0.04010453,0.00022487,-0.00022487,0.00099877,-0.00099877
8.5,8.0,9.0,0.02102919,0.00016023,-0.00016023,0.00049739,-0.00049739
9.5,9.0,10.0,0.01237296,0.00012267,-0.00012267,0.00028313,-0.00028313
10.5,10.0,11.0,0.00749349,9.4856e-05,-9.4856e-05,0.00017381,-0.00017381
11.5,11.0,12.0,0.004929428,7.6869e-05,-7.6869e-05,0.00011421,-0.00011421
12.5,12.0,13.0,0.00330964,6.2945e-05,-6.2945e-05,7.6687e-05,-7.6687e-05
13.5,13.0,14.0,0.002296331,5.2411e-05,-5.2411e-05,5.3217e-05,-5.3217e-05
14.5,14.0,15.0,0.001660896,4.4552e-05,-4.4552e-05,3.8494e-05,-3.8494e-05
15.5,15.0,16.0,0.001230242,3.8327e-05,-3.8327e-05,2.8514e-05,-2.8514e-05
17.0,16.0,18.0,0.0007992316,2.1835e-05,-2.1835e-05,1.8527e-05,-1.8527e-05
19.0,18.0,20.0,0.0005046231,1.7334e-05,-1.7334e-05,1.1701e-05,-1.1701e-05
21.0,20.0,22.0,0.0002939468,1.3418e-05,-1.3418e-05,6.8204e-06,-6.8204e-06
23.0,22.0,24.0,0.0001914228,1.0772e-05,-1.0772e-05,4.4436e-06,-4.4436e-06
25.0,24.0,26.0,0.0001428279,9.2761e-06,-9.2761e-06,3.3167e-06,-3.3167e-06
28.0,26.0,30.0,7.741034e-05,4.8078e-06,-4.8078e-06,1.8018e-06,-1.8018e-06
32.0,30.0,34.0,4.13102e-05,3.4977e-06,-3.4977e-06,9.6416e-07,-9.6416e-07
37.0,34.0,40.0,1.777447e-05,1.8655e-06,-1.8655e-06,4.1702e-07,-4.1702e-07
45.0,40.0,50.0,6.47671e-06,8.6616e-07,-8.6616e-07,1.539e-07,-1.539e-07

#: CENT,,,5-10 pct
#: ETARAP,,,-0.8 - 0.8
#: RE,,,PB PB --> CHARGED X
#: SQRT(S)/NUCLEON,,,2760.0 GeV
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,(1/(Nevt))*D2(N)/DETARAP/DPT [C/GEV],stat +,stat -,sys +,sys -
0.175,0.15,0.2,1558.104,0.51836,-0.51836,75.82,-75.82
0.225,0.2,0.25,1682.95,0.34041,-0.34041,53.214,-53.214
0.275,0.25,0.3,1682.545,0.30006,-0.30006,47.236,-47.236
0.32499999999999996,0.3,0.35,1612.418,0.27542,-0.27542,37.628,-37.628
0.375,0.35,0.4,1511.63,0.25847,-0.25847,34.141,-34.141
0.42500000000000004,0.4,0.45,1400.869,0.24235,-0.24235,30.201,-30.201
0.475,0.45,0.5,1285.027,0.23149,-0.23149,27.357,-27.357
0.525,0.5,0.55,1172.783,0.22483,-0.22483,25.785,-25.785
0.575,0.55,0.6,1067.853,0.21695,-0.21695,23.142,-23.142
0.625,0.6,0.65,970.326,0.21106,-0.21106,20.63,-20.63
0.675,0.65,0.7,882.91,0.20616,-0.20616,18.292,-18.292
0.725,0.7,0.75,803.4,0.19994,-0.19994,16.6,-16.6
0.775,0.75,0.8,730.321,0.19418,-0.19418,15.069,-15.069
0.825,0.8,0.85,662.245,0.18814,-0.18814,13.404,-13.404
0.875,0.85,0.9,599.935,0.18293,-0.18293,12.181,-12.181
0.925,0.9,0.95,543.586,0.17806,-0.17806,11.006,-11.006
0.975,0.95,1.0,492.636,0.17149,-0.17149,10.035,-10.035
1.05,1.0,1.1,424.184,0.11276,-0.11276,8.7989,-8.7989
1.15,1.1,1.2,348.211,0.10262,-0.10262,7.5475,-7.5475
1.25,1.2,1.3,284.663,0.080585,-0.080585,6.8571,-6.8571
1.35,1.3,1.4,237.242,0.071329,-0.071329,5.6389,-5.6389
1.45,1.4,1.5,193.092,0.065119,-0.065119,4.9448,-4.9448
1.55,1.5,1.6,160.824,0.057686,-0.057686,4.154,-4.154
1.65,1.6,1.7,131.736,0.052315,-0.052315,3.6697,-3.6697
1.75,1.7,1.8,109.172,0.046311,-0.046311,2.9617,-2.9617
1.85,1.8,1.9,89.697,0.04234,-0.04234,2.5923,-2.5923
1.95,1.9,2.0,74.163,0.0375,-0.0375,2.1143,-2.1143
2.1,2.0,2.2,55.77349,0.025445,-0.025445,1.6871,-1.6871
2.3,2.2,2.4,37.97797,0.020269,-0.020269,1.1736,-1.1736
2.5,2.4,2.6,25.67787,0.016264,-0.016264,0.78036,-0.78036
2.7,2.6,2.8,17.55844,0.013008,-0.013008,0.54005,-0.54005
2.9,2.8,3.0,11.95669,0.010453,-0.010453,0.3865,-0.3865
3.1,3.0,3.2,8.211704,0.0084462,-0.0084462,0.24794,-0.24794
3.3,3.2,3.4,5.674873,0.0066444,-0.0066444,0.17582,-0.17582
3.5,3.4,3.6,3.957338,0.0054592,-0.0054592,0.12159,-0.12159
3.7,3.6,3.8,2.749626,0.0045204,-0.0045204,0.084979,-0.084979
3.9,3.8,4.0,1.968017,0.0037837,-0.0037837,0.060257,-0.060257
4.25,4.0,4.5,1.127202,0.0017946,-0.0017946,0.034851,-0.034851
4.75,4.5,5.0,0.5430419,0.0012283,-0.0012283,0.016463,-0.016463
5.25,5.0,5.5,0.2756688,0.00085895,-0.00085895,0.0076652,-0.0076652
5.75,5.5,6.0,0.1606143,0.00065134,-0.00065134,0.0044803,-0.0044803
6.25,6.0,6.5,0.09471981,0.0004899,-0.0004899,0.0025186,-0.0025186
6.75,6.5,7.0,0.06302836,0.00039865,-0.00039865,0.0016221,-0.0016221
7.5,7.0,8.0,0.03683854,0.00021568,-0.00021568,0.00094236,-0.00094236
8.5,8.0,9.0,0.01889479,0.00015228,-0.00015228,0.0004514,-0.0004514
9.5,9.0,10.0,0.01132434,0.00011746,-0.00011746,0.0002752,-0.0002752
10.5,10.0,11.0,0.006823603,9.0441e-05,-9.0441e-05,0.00016426,-0.00016426
11.5,11.0,12.0,0.004373787,7.2299e-05,-7.2299e-05,0.00010517,-0.00010517
12.5,12.0,13.0,0.002925319,5.9068e-05,-5.9068e-05,7.035e-05,-7.035e-05
13.5,13.0,14.0,0.00202187,4.9078e-05,-4.9078e-05,4.8635e-05,-4.8635e-05
14.5,14.0,15.0,0.00145395,4.1592e-05,-4.1592e-05,3.4974e-05,-3.4974e-05
15.5,15.0,16.0,0.001007804,3.4607e-05,-3.4607e-05,2.4246e-05,-2.4246e-05
17.0,16.0,18.0,0.000744636,2.1028e-05,-2.1028e-05,1.7915e-05,-1.7915e-05
19.0,18.0,20.0,0.0004101823,1.5589e-05,-1.5589e-05,9.8712e-06,-9.8712e-06
21.0,20.0,22.0,0.0002662164,1.2978e-05,-1.2978e-05,6.4109e-06,-6.4109e-06
23.0,22.0,24.0,0.0001676793,1.0166e-05,-1.0166e-05,4.0406e-06,-4.0406e-06
25.0,24.0,26.0,0.000115473,8.3719e-06,-8.3719e-06,2.7841e-06,-2.7841e-06
28.0,26.0,30.0,6.516936e-05,4.4116e-06,-4.4116e-06,1.5743e-06,-1.5743e-06
32.0,30.0,34.0,3.359003e-05,3.1478e-06,-3.1478e-06,8.1418e-07,-8.1418e-07
37.0,34.0,40.0,1.738798e-05,1.8394e-06,-1.8394e-06,4.2371e-07,-4.2371e-07
45.0,40.0,50.0,7.086277e-06,9.0223e-07,-9.0223e-07,1.7525e-07,-1.7525e-07

#: CENT,,,10-20 pct
#: ETARAP,,,-0.8 - 0.8
#: RE,,,PB PB --> CHARGED X
#: SQRT(S)/NUCLEON,,,2760.0 GeV
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,(1/(Nevt))*D2(N)/DETARAP/DPT [C/GEV],stat +,stat -,sys +,sys -
0.175,0.15,0.2,1182.519,0.3012,-0.3012,54.215,-54.215
0.225,0.2,0.25,1262.51,0.19792,-0.19792,35.826,-35.826
0.275,0.25,0.3,1257.703,0.17567,-0.17567,31.637,-31.637
0.32499999999999996,0.3,0.35,1204.491,0.16199,-0.16199,26.265,-26.265
0.375,0.35,0.4,1128.354,0.15215,-0.15215,25.426,-25.426
0.42500000000000004,0.4,0.45,1045.017,0.143,-0.143,23.505,-23.505
0.475,0.45,0.5,957.236,0.13695,-0.13695,21.443,-21.443
0.525,0.5,0.55,874.028,0.13327,-0.13327,20.001,-20.001
0.575,0.55,0.6,794.868,0.12882,-0.12882,17.753,-17.753
0.625,0.6,0.65,722.775,0.1253,-0.1253,15.823,-15.823
0.675,0.65,0.7,657.502,0.12249,-0.12249,13.937,-13.937
0.725,0.7,0.75,597.875,0.11898,-0.11898,12.59,-12.59
0.775,0.75,0.8,543.08,0.11567,-0.11567,11.344,-11.344
0.825,0.8,0.85,492.408,0.11226,-0.11226,10.198,-10.198
0.875,0.85,0.9,446.371,0.1086,-0.1086,9.2368,-9.2368
0.925,0.9,0.95,403.976,0.10596,-0.10596,8.3757,-8.3757
0.975,0.95,1.0,366.484,0.10163,-0.10163,7.6608,-7.6608
1.05,1.0,1.1,315.55,0.066658,-0.066658,6.6978,-6.6978
1.15,1.1,1.2,259.1,0.060636,-0.060636,5.7523,-5.7523
1.25,1.2,1.3,211.852,0.048221,-0.048221,5.0803,-5.0803
1.35,1.3,1.4,176.738,0.042802,-0.042802,4.1957,-4.1957
1.45,1.4,1.5,143.709,0.038941,-0.038941,3.6876,-3.6876
1.55,1.5,1.6,119.82,0.034596,-0.034596,3.092,-3.092
1.65,1.6,1.7,98.117,0.031338,-0.031338,2.7061,-2.7061
1.75,1.7,1.8,81.463,0.027835,-0.027835,2.199,-2.199
1.85,1.8,1.9,66.928,0.025332,-0.025332,1.9476,-1.9476
1.95,1.9,2.0,55.365,0.0225,-0.0225,1.5913,-1.5913
2.1,2.0,2.2,41.78154,0.015206,-0.015206,1.2481,-1.2481
2.3,2.2,2.4,28.51323,0.012193,-0.012193,0.86412,-0.86412
2.5,2.4,2.6,19.47198,0.0098039,-0.0098039,0.57751,-0.57751
2.7,2.6,2.8,13.3068,0.0079242,-0.0079242,0.40236,-0.40236
2.9,2.8,3.0,9.122584,0.0063728,-0.0063728,0.28653,-0.28653
3.1,3.0,3.2,6.341017,0.0052201,-0.0052201,0.18709,-0.18709
3.3,3.2,3.4,4.385358,0.0041028,-0.0041028,0.12996,-0.12996
3.5,3.4,3.6,3.080999,0.0033874,-0.0033874,0.090605,-0.090605
3.7,3.6,3.8,2.174019,0.0028326,-0.0028326,0.064335,-0.064335
3.9,3.8,4.0,1.560099,0.002374,-0.002374,0.045883,-0.045883
4.25,4.0,4.5,0.9140884,0.0011376,-0.0011376,0.027093,-0.027093
4.75,4.5,5.0,0.4508589,0.00078823,-0.00078823,0.013165,-0.013165
5.25,5.0,5.5,0.2327551,0.00055561,-0.00055561,0.006204,-0.006204
5.75,5.5,6.0,0.1354585,0.00042109,-0.00042109,0.0036057,-0.0036057
6.25,6.0,6.5,0.08114444,0.0003198,-0.0003198,0.0020208,-0.0020208
6.75,6.5,7.0,0.05366401,0.00025931,-0.00025931,0.0013227,-0.0013227
7.5,7.0,8.0,0.03155556,0.00014075,-0.00014075,0.00077745,-0.00077745
8.5,8.0,9.0,0.0164372,0.0001005,-0.0001005,0.00039395,-0.00039395
9.5,9.0,10.0,0.009399609,7.5769e-05,-7.5769e-05,0.00022724,-0.00022724
10.5,10.0,11.0,0.005810991,5.9184e-05,-5.9184e-05,0.0001373,-0.0001373
11.5,11.0,12.0,0.00373386,4.7383e-05,-4.7383e-05,8.8122e-05,-8.8122e-05
12.5,12.0,13.0,0.002562037,3.9217e-05,-3.9217e-05,6.0474e-05,-6.0474e-05
13.5,13.0,14.0,0.001682592,3.1764e-05,-3.1764e-05,3.9725e-05,-3.9725e-05
14.5,14.0,15.0,0.001214283,2.6968e-05,-2.6968e-05,2.867e-05,-2.867e-05
15.5,15.0,16.0,0.0009139407,2.3384e-05,-2.3384e-05,2.158e-05,-2.158e-05
17.0,16.0,18.0,0.0005889813,1.3268e-05,-1.3268e-05,1.3909e-05,-1.3909e-05
19.0,18.0,20.0,0.0003397322,1.0066e-05,-1.0066e-05,8.0256e-06,-8.0256e-06
21.0,20.0,22.0,0.0002242936,8.3321e-06,-8.3321e-06,5.3022e-06,-5.3022e-06
23.0,22.0,24.0,0.0001331042,6.3679e-06,-6.3679e-06,3.1488e-06,-3.1488e-06
25.0,24.0,26.0,8.784189e-05,5.1494e-06,-5.1494e-06,2.0791e-06,-2.0791e-06
28.0,26.0,30.0,5.667361e-05,2.9129e-06,-2.9129e-06,1.3442e-06,-1.3442e-06
32.0,30.0,34.0,2.655481e-05,1.9835e-06,-1.9835e-06,6.322e-07,-6.322e-07
37.0,34.0,40.0,1.483546e-05,1.2055e-06,-1.2055e-06,3.549e-07,-3.549e-07
45.0,40.0,50.0,5.713672e-06,5.7497e-07,-5.7497e-07,1.3904e-07,-1.3904e-07

#: CENT,,,20-30 pct
#: ETARAP,,,-0.8 - 0.8
#: RE,,,PB PB --> CHARGED X
#: SQRT(S)/NUCLEON,,,2760.0 GeV
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,(1/(Nevt))*D2(N)/DETARAP/DPT [C/GEV],stat +,stat -,sys +,sys -
0.175,0.15,0.2,809.189,0.23253,-0.23253,36.921,-36.921
0.225,0.2,0.25,854.526,0.15358,-0.15358,23.642,-23.642
0.275,0.25,0.3,848.377,0.13741,-0.13741,21.261,-21.261
0.32499999999999996,0.3,0.35,810.281,0.1274,-0.1274,19.181,-19.181
0.375,0.35,0.4,757.169,0.11988,-0.11988,19.377,-19.377
0.42500000000000004,0.4,0.45,699.757,0.11277,-0.11277,18.274,-18.274
0.475,0.45,0.5,639.37,0.10819,-0.10819,16.7,-16.7
0.525,0.5,0.55,582.832,0.10546,-0.10546,14.974,-14.974
0.575,0.55,0.6,529.463,0.10215,-0.10215,13.025,-13.025
0.625,0.6,0.65,480.834,0.099498,-0.099498,11.438,-11.438
0.675,0.65,0.7,436.925,0.097426,-0.097426,10.021,-10.021
0.725,0.7,0.75,396.92,0.094524,-0.094524,8.8285,-8.8285
0.775,0.75,0.8,360.115,0.091786,-0.091786,7.9694,-7.9694
0.825,0.8,0.85,326.117,0.088802,-0.088802,7.0679,-7.0679
0.875,0.85,0.9,295.056,0.086243,-0.086243,6.3456,-6.3456
0.925,0.9,0.95,267.085,0.083769,-0.083769,5.7136,-5.7136
0.975,0.95,1.0,241.942,0.080464,-0.080464,5.2295,-5.2295
1.05,1.0,1.1,207.855,0.052685,-0.052685,4.7144,-4.7144
1.15,1.1,1.2,170.511,0.047587,-0.047587,3.9212,-3.9212
1.25,1.2,1.3,139.266,0.038273,-0.038273,3.4267,-3.4267
1.35,1.3,1.4,116.089,0.034039,-0.034039,2.834,-2.834
1.45,1.4,1.5,94.385,0.030892,-0.030892,2.5156,-2.5156
1.55,1.5,1.6,78.659,0.027506,-0.027506,2.0963,-2.0963
1.65,1.6,1.7,64.265,0.024932,-0.024932,1.7551,-1.7551
1.75,1.7,1.8,53.298,0.022175,-0.022175,1.4324,-1.4324
1.85,1.8,1.9,43.697,0.020105,-0.020105,1.3551,-1.3551
1.95,1.9,2.0,36.255,0.017928,-0.017928,1.1132,-1.1132
2.1,2.0,2.2,27.26901,0.011996,-0.011996,0.84859,-0.84859
2.3,2.2,2.4,18.63253,0.0096503,-0.0096503,0.56657,-0.56657
2.5,2.4,2.6,12.78015,0.0078053,-0.0078053,0.38983,-0.38983
2.7,2.6,2.8,8.798573,0.0063235,-0.0063235,0.27484,-0.27484
2.9,2.8,3.0,6.049132,0.0051335,-0.0051335,0.17668,-0.17668
3.1,3.0,3.2,4.22463,0.0042017,-0.0042017,0.12366,-0.12366
3.3,3.2,3.4,2.970177,0.0033411,-0.0033411,0.087137,-0.087137
3.5,3.4,3.6,2.113949,0.0027792,-0.0027792,0.061837,-0.061837
3.7,3.6,3.8,1.504839,0.0023339,-0.0023339,0.043921,-0.043921
3.9,3.8,4.0,1.094291,0.0019703,-0.0019703,0.031957,-0.031957
4.25,4.0,4.5,0.6559144,0.00095883,-0.00095883,0.019372,-0.019372
4.75,4.5,5.0,0.333277,0.00067424,-0.00067424,0.0097816,-0.0097816
5.25,5.0,5.5,0.1763437,0.0004831,-0.0004831,0.0048503,-0.0048503
5.75,5.5,6.0,0.1037212,0.00036766,-0.00036766,0.0028175,-0.0028175
6.25,6.0,6.5,0.06320812,0.00028231,-0.00028231,0.0016144,-0.0016144
6.75,6.5,7.0,0.04190848,0.00022917,-0.00022917,0.0010656,-0.0010656
7.5,7.0,8.0,0.02472392,0.0001246,-0.0001246,0.00062487,-0.00062487
8.5,8.0,9.0,0.01264701,8.8133e-05,-8.8133e-05,0.00030638,-0.00030638
9.5,9.0,10.0,0.007383407,6.7094e-05,-6.7094e-05,0.00017871,-0.00017871
10.5,10.0,11.0,0.004470568,5.1778e-05,-5.1778e-05,0.00010897,-0.00010897
11.5,11.0,12.0,0.002884775,4.1533e-05,-4.1533e-05,7.0236e-05,-7.0236e-05
12.5,12.0,13.0,0.001920788,3.3855e-05,-3.3855e-05,4.6772e-05,-4.6772e-05
13.5,13.0,14.0,0.001321391,2.8063e-05,-2.8063e-05,3.2184e-05,-3.2184e-05
14.5,14.0,15.0,0.0009983504,2.4377e-05,-2.4377e-05,2.4318e-05,-2.4318e-05
15.5,15.0,16.0,0.0006864317,2.02e-05,-2.02e-05,1.6721e-05,-1.6721e-05
17.0,16.0,18.0,0.0004252247,1.1237e-05,-1.1237e-05,1.0361e-05,-1.0361e-05
19.0,18.0,20.0,0.000250407,8.6127e-06,-8.6127e-06,6.1026e-06,-6.1026e-06
21.0,20.0,22.0,0.0001494506,6.7632e-06,-6.7632e-06,3.6454e-06,-3.6454e-06
23.0,22.0,24.0,0.0001099093,5.7726e-06,-5.7726e-06,2.6827e-06,-2.6827e-06
25.0,24.0,26.0,6.904665e-05,4.5527e-06,-4.5527e-06,1.6867e-06,-1.6867e-06
28.0,26.0,30.0,3.660268e-05,2.3324e-06,-2.3324e-06,8.9578e-07,-8.9578e-07
32.0,30.0,34.0,1.950707e-05,1.6946e-06,-1.6946e-06,4.7933e-07,-4.7933e-07
37.0,34.0,40.0,1.057329e-05,1.0143e-06,-1.0143e-06,2.6156e-07,-2.6156e-07
45.0,40.0,50.0,3.610377e-06,4.5531e-07,-4.5531e-07,9.0578e-08,-9.0578e-08

#: CENT,,,30-40 pct
#: ETARAP,,,-0.8 - 0.8
#: RE,,,PB PB --> CHARGED X
#: SQRT(S)/NUCLEON,,,2760.0 GeV
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,(1/(Nevt))*D2(N)/DETARAP/DPT [C/GEV],stat +,stat -,sys +,sys -
0.175,0.15,0.2,540.038,0.17941,-0.17941,23.844,-23.844
0.225,0.2,0.25,564.9,0.11923,-0.11923,14.881,-14.881
0.275,0.25,0.3,557.846,0.10748,-0.10748,13.804,-13.804
0.32499999999999996,0.3,0.35,530.579,0.099813,-0.099813,13.175,-13.175
0.375,0.35,0.4,494.076,0.093858,-0.093858,13.449,-13.449
0.42500000000000004,0.4,0.45,454.713,0.088233,-0.088233,12.707,-12.707
0.475,0.45,0.5,414.0,0.084646,-0.084646,11.597,-11.597
0.525,0.5,0.55,376.287,0.082421,-0.082421,10.236,-10.236
0.575,0.55,0.6,340.875,0.079767,-0.079767,8.8006,-8.8006
0.625,0.6,0.65,308.775,0.077645,-0.077645,7.6727,-7.6727
0.675,0.65,0.7,280.097,0.07594,-0.07594,6.6462,-6.6462
0.725,0.7,0.75,253.78,0.073634,-0.073634,5.8032,-5.8032
0.775,0.75,0.8,229.775,0.071512,-0.071512,5.1663,-5.1663
0.825,0.8,0.85,207.613,0.069028,-0.069028,4.5817,-4.5817
0.875,0.85,0.9,187.438,0.067008,-0.067008,4.0836,-4.0836
0.925,0.9,0.95,169.326,0.064843,-0.064843,3.6465,-3.6465
0.975,0.95,1.0,153.085,0.062036,-0.062036,3.3904,-3.3904
1.05,1.0,1.1,131.238,0.040701,-0.040701,2.9494,-2.9494
1.15,1.1,1.2,107.174,0.036664,-0.036664,2.5016,-2.5016
1.25,1.2,1.3,87.415,0.029715,-0.029715,2.1762,-2.1762
1.35,1.3,1.4,72.647,0.026441,-0.026441,1.7945,-1.7945
1.45,1.4,1.5,58.92,0.024014,-0.024014,1.5745,-1.5745
1.55,1.5,1.6,49.023,0.021401,-0.021401,1.3043,-1.3043
1.65,1.6,1.7,39.974,0.01934,-0.01934,1.1184,-1.1184
1.75,1.7,1.8,33.143,0.017233,-0.017233,0.91677,-0.91677
1.85,1.8,1.9,27.202,0.01561,-0.01561,0.80918,-0.80918
1.95,1.9,2.0,22.506,0.013926,-0.013926,0.66329,-0.66329
2.1,2.0,2.2,16.95305,0.0092519,-0.0092519,0.48373,-0.48373
2.3,2.2,2.4,11.62343,0.0075022,-0.0075022,0.3474,-0.3474
2.5,2.4,2.6,8.013993,0.0060731,-0.0060731,0.22532,-0.22532
2.7,2.6,2.8,5.545818,0.0049507,-0.0049507,0.15532,-0.15532
2.9,2.8,3.0,3.838913,0.0040443,-0.0040443,0.11037,-0.11037
3.1,3.0,3.2,2.719659,0.0033643,-0.0033643,0.075747,-0.075747
3.3,3.2,3.4,1.923358,0.0026716,-0.0026716,0.053847,-0.053847
3.5,3.4,3.6,1.383032,0.0022378,-0.0022378,0.0386,-0.0386
3.7,3.6,3.8,0.9966164,0.0018917,-0.0018917,0.027711,-0.027711
3.9,3.8,4.0,0.7356694,0.001611,-0.001611,0.020505,-0.020505
4.25,4.0,4.5,0.4479685,0.00079137,-0.00079137,0.012622,-0.012622
4.75,4.5,5.0,0.233302,0.00056369,-0.00056369,0.0064899,-0.0064899
5.25,5.0,5.5,0.1262584,0.00040786,-0.00040786,0.0032417,-0.0032417
5.75,5.5,6.0,0.07533607,0.00031292,-0.00031292,0.0019036,-0.0019036
6.25,6.0,6.5,0.04620878,0.00024144,-0.00024144,0.0011062,-0.0011062
6.75,6.5,7.0,0.03058608,0.00019573,-0.00019573,0.0007258,-0.0007258
7.5,7.0,8.0,0.01804828,0.00010645,-0.00010645,0.00042735,-0.00042735
8.5,8.0,9.0,0.009330173,7.5669e-05,-7.5669e-05,0.00020952,-0.00020952
9.5,9.0,10.0,0.005329721,5.6963e-05,-5.6963e-05,0.00012015,-0.00012015
10.5,10.0,11.0,0.003246946,4.4084e-05,-4.4084e-05,7.345e-05,-7.345e-05
11.5,11.0,12.0,0.002008539,3.4616e-05,-3.4616e-05,4.5374e-05,-4.5374e-05
12.5,12.0,13.0,0.001374279,2.8604e-05,-2.8604e-05,3.1051e-05,-3.1051e-05
13.5,13.0,14.0,0.0008904402,2.3007e-05,-2.3007e-05,2.0126e-05,-2.0126e-05
14.5,14.0,15.0,0.0006615022,1.9817e-05,-1.9817e-05,1.4953e-05,-1.4953e-05
15.5,15.0,16.0,0.0004394312,1.614e-05,-1.614e-05,9.9336e-06,-9.9336e-06
17.0,16.0,18.0,0.0003039742,9.4873e-06,-9.4873e-06,6.8738e-06,-6.8738e-06
19.0,18.0,20.0,0.0001681975,7.0478e-06,-7.0478e-06,3.8049e-06,-3.8049e-06
21.0,20.0,22.0,0.0001071265,5.7311e-06,-5.7311e-06,2.4265e-06,-2.4265e-06
